72   
41   
GDPsh560    
Confuncious 
Life Exp    
Equip Inv   
SubSahara   
Muslim      
Rule of Law 
Yrs Open    
Eco Org     
Protestants 
NEquip Inv  
Mining      
LatAmerica  
PrSc Enroll 
Buddha      
Bl Mkt Pm   
Catholic    
Civl Lib    
Hindu       
Pr Exports  
Pol Rights  
R FEX Dist  
Age         
War Dummy   
English %   
Foreign %   
Lab Force   
Spanish Col 
EthnoL Frac 
std(BMP)    
French Col  
Abs Lat     
Work/Pop    
High Enroll 
Pop g       
Brit Col    
Outwar Or   
Jewish      
Rev & Coup  
%Publ Edu   
Area        
1.36900 7.438972 0.000 47.30 0.05070 0.0 0.990 0.3333 0.000 0.0 0.005 0.19070 0.196 0.0 0.46 0.00 0.131 0.000 5.8889 0.000 0.9330 5.8333 190.0 84.0 0.0 0.0000 0.8360 2.855520 0.0 0.43 18.655550 1.0 3.6720 -1.330292 0.003 0.028417 0.0 1.0 0.005 0.1230 0.0297 2.3820
5.61950 6.284134 0.000 45.70 0.13090 1.0 0.000 0.8333 0.356 5.0 0.250 0.15300 0.533 0.0 0.42 0.00 0.072 0.250 3.0000 0.000 0.7500 2.0556 131.0 0.0 0.0 0.0000 0.0000 0.210919 0.0 0.51 2.338848 0.0 2.1536 -0.824395 0.000 0.033150 1.0 0.0 0.000 0.0000 0.0300 0.5820
1.22390 6.546785 0.000 43.40 0.00400 1.0 0.160 0.5000 0.156 5.0 0.170 0.12500 0.088 0.0 0.65 0.00 0.050 0.160 5.5556 0.000 0.9150 6.0556 187.0 0.0 0.0 0.0000 0.0070 2.587055 0.0 0.89 0.447262 1.0 1.0730 -0.716620 0.002 0.026343 0.0 1.0 0.000 0.0800 0.0221 0.4750
2.23220 6.968851 0.000 47.30 0.04980 1.0 0.020 0.3333 0.000 1.0 0.250 0.23840 0.168 0.0 0.78 0.00 0.050 0.250 6.1667 0.000 0.7100 6.5556 191.0 0.0 0.0 0.0000 0.0000 0.455567 0.0 0.66 0.447668 1.0 0.3684 -0.774140 0.005 0.027473 0.0 1.0 0.000 0.3600 0.0311 0.3420
-0.05530 5.517453 0.000 42.20 0.00600 1.0 0.420 0.5000 0.000 0.0 0.000 0.04880 0.001 0.0 0.07 0.00 0.156 0.000 6.6111 0.000 0.9830 6.6667 98.0 0.0 1.0 0.0000 0.0020 12.378530 0.0 0.69 7.002330 0.0 0.9007 -0.670017 0.001 0.022771 0.0 0.0 0.000 0.7200 0.0095 1.2220
-0.15920 6.771935 0.000 45.20 0.00443 1.0 0.300 0.1667 0.222 3.0 0.120 0.08667 0.016 0.0 0.38 0.00 0.350 0.120 5.0000 0.000 0.9940 5.8889 248.0 0.0 0.0 0.0000 0.0000 2.941271 0.0 0.71 58.862670 0.0 0.6694 -0.834250 0.002 0.027276 1.0 0.0 0.000 0.5470 0.0260 0.2390
0.96300 6.464588 0.000 45.00 0.02800 1.0 0.060 0.3333 0.044 5.0 0.380 0.14650 0.002 0.0 0.47 0.00 0.014 0.280 4.8333 0.000 0.8740 5.3333 131.0 79.0 0.0 0.0000 0.0000 3.712739 0.0 0.83 1.244759 0.0 0.0513 -0.808334 0.001 0.035654 1.0 1.0 0.000 0.0500 0.0361 0.5800
-2.07690 7.058758 0.000 41.00 0.01000 1.0 0.070 0.6667 0.000 1.0 0.210 0.06110 0.078 0.0 0.52 0.00 0.050 0.200 5.0556 0.000 0.9280 5.2222 120.0 0.0 0.0 0.0000 0.0000 2.715022 0.0 0.06 0.479897 1.0 1.8958 -0.670603 0.002 0.026986 0.0 0.0 0.000 0.1000 0.0206 0.5870
0.68190 5.905362 0.000 37.90 0.01800 1.0 0.200 0.1667 0.000 5.0 0.550 0.11430 0.089 0.0 0.67 0.00 0.086 0.200 6.5556 0.000 0.9630 6.3889 116.0 0.0 0.0 0.0000 0.0000 1.756030 0.0 0.62 3.264259 0.0 1.5811 -0.697959 0.000 0.030129 1.0 1.0 0.000 0.0000 0.0118 0.1180
2.84710 6.673298 0.000 46.90 0.01500 0.0 0.990 0.1667 0.444 3.0 0.010 0.06840 0.029 0.0 0.47 0.00 0.179 0.000 4.6111 0.000 0.9030 4.1667 123.0 0.0 1.0 0.0000 0.7400 3.265743 0.0 0.53 0.905242 1.0 3.3593 -1.269757 0.005 0.025559 0.0 0.0 0.000 0.0800 0.0305 0.4470
